Index,Time,Bid,Utility
367,240,21845,59929.758547499994
368,360,1130,8720.721344
369,360,950,24126.174349999998
370,0,45000,57479.139299999995
371,300,1130,66183.26251566666
372,300,1130,17755.4066
373,300,1115,48743.86521833334
374,720,1700,12156.298688000003
375,240,21845,128770.75425
376,360,955,27264.225564
377,240,19040,135743.8302125
378,0,33600,33829.47967
379,720,2995,66746.7113775
380,360,1115,11104.46146775
381,720,1120,14643.545408999998
382,720,1685,10211.46165075
383,0,45200,72717.2147
384,360,4810,113341.00109249998
385,180,63360,142957.4269
386,180,16320,100661.9811
387,600,1125,22659.95897666667
388,240,19210,103545.1429
389,180,171930,133411.84389999998
390,240,16235,104322.87491416666
391,180,63360,17877.48685
392,300,2590,142833.9703566667
393,720,1125,24901.448087499994
394,300,2610,108126.510085
395,720,1125,30333.307230000002
396,600,1125,22659.95897666667
397,120,19125,94740.7104
398,720,8470,86587.75543499997
399,120,94435,342009.0673
400,180,19125,213254.0008
401,180,42560,142723.1784
402,180,19210,170168.6606
403,300,1130,13791.80275
404,300,1130,95978.294455
405,300,2420,201361.36656666666
406,180,19125,190016.1007
407,180,122760,124238.73250000001
408,0,87400,62467.3873
409,240,19210,153711.93284083332
410,300,1125,14212.014054666666
411,360,1040,9695.03767
412,180,74580,961.6263999999937
413,240,19040,59343.4696
414,360,1115,65594.3150325
415,300,1120,43270.76148733334
416,720,1125,4684.4750189999995
417,180,122760,124238.73250000001
418,240,19210,175084.30657416667
419,0,45200,48061.26716
420,720,1120,4670.099324
421,300,1130,8720.721344
422,720,1115,12850.098820749998
423,0,45000,143226.9906
424,360,1290,11327.42846
425,300,1115,66748.455435
426,360,1110,40946.2562225
427,300,1120,76428.73028833333
428,600,1115,11686.340585583335
429,480,1865,6622.535892
430,180,122760,46649.28150000001
431,240,73270,303444.3357025
432,0,45200,81052.4404
433,180,108240,169995.5282
434,360,960,40819.27894999999
435,360,2025,20725.545177499996
436,180,31705,243291.1629
437,180,19040,148293.8705
438,300,1300,86110.53525666667
439,360,1125,21720.76051075
440,480,2595,33587.084415833335
441,180,22185,165347.9431
442,0,45000,101805.4337
443,300,1115,98429.60932999999
444,300,6300,324531.769925
445,180,68640,69765.307
446,720,2605,44668.4604675
447,0,44600,73583.9768
448,300,1130,26226.638366666666
449,360,830,5829.529669
450,720,216275,3302713.1154999984
451,300,1125,57637.839818333334
452,720,1125,27922.3750975
453,360,955,54430.207389999996
454,300,1870,61404.196254999995
455,180,74580,43453.7913
456,-1,-1,0
457,300,7020,225249.318495
458,300,1695,30894.20203
459,300,840,57598.88238
460,0,45000,106104.44529999999
461,720,1125,18206.02812725
462,600,1030,19646.148278166664
463,300,1280,81642.66666666667
464,300,1850,20421.79496666667
465,720,1860,6610.464076
466,300,1130,49231.084265833335
467,-1,-1,0
468,360,945,37603.8778905
469,0,68000,137231.5783
470,720,840,17078.975909999997
471,300,1670,78685.2295615
472,720,1125,31814.7233575
473,720,1855,14713.626330000003
474,600,840,18922.203904500006
475,180,74580,60182.53099999999
476,-1,-1,0
477,480,1125,8693.012783
478,300,1120,85335.83309166666
479,720,1130,21252.704122500003
480,-1,-1,0
481,240,31535,48229.692162499996
482,240,16320,37838.324565
483,180,42560,90843.8884
484,600,1860,17198.544169999997
485,300,1130,77559.19416500001
486,300,1130,80473.608765
487,180,70300,145668.9209
488,180,171930,143226.4031
489,240,17425,41289.38364666667
490,120,21845,109610.81280000001
491,720,1975,37719.08868749999
492,300,1130,95978.294455
493,-1,-1,0
494,360,1125,27341.427592500004
495,120,16150,88658.1736
496,300,1845,8342.20733
497,720,1700,12156.298688000003
498,240,41395,109304.41029249999
499,720,955,13173.879438249998
500,300,1130,17755.4066
